Feature	Gain	Cover	Frequency
Visa_msaldototal_delta1	0.00157253225983671	0.00249510945908876	0.0034965034965035
Visa_cconsumos_delta1	0.00156510800284263	0.00311782810543992	0.0032423716634243
mdescubierto_preacordado_lag1	0.00154308867345442	0.000929393762079882	0.000963948332369385
ctarjeta_visa_trx_lag1	0.00152083931967845	0.0038087461099895	0.00366300366300366
mtarjeta_visa_consumo_delta1	0.00150121409510071	0.00367822781336316	0.00317226633016107
ctransferencias_recibidas	0.00148203397741648	0.00236459139302794	0.00288308183045025
cmobile_app_trx_delta1	0.00138624242507082	0.002395511765802	0.00315473999684526
cpayroll_trx_lag1	0.00137046810136234	0.000653493762850263	0.000683526999316473
Master_mpagospesos_lag1	0.00132491530580562	0.00286664557491243	0.00261142366405524
ctarjeta_debito	0.00132305180681875	0.00125144037332722	0.00244492349755508
Master_msaldopesos	0.00131150708775522	0.00328557358710473	0.00219955483113378
mautoservicio_lag1	0.00130678084457259	0.00286559258220171	0.00330371383002962
mpagomiscuentas_lag1	0.00130274280388391	0.00394632724320659	0.00271658166395009
ctarjeta_visa_debitos_automaticos_lag1	0.00129841896012292	0.00330405525772133	0.00238358133094975
Master_mpagominimo_lag1	0.00125637339037624	0.00185219650146954	0.00206810733126523
Master_msaldototal	0.00125237366923232	0.00297936690364897	0.00261142366405524
Master_fultimo_cierre_delta1	0.00121622580593614	0.0013885387023542	0.00218202849781797
ccaja_seguridad_lag1	0.00121329973916275	0.000556941532606713	0.000315473999684526
Master_mpagominimo	0.00118462745239806	0.00434664823399686	0.00219955483113378
Visa_mconsumosdolares_delta1	0.00117907817382328	0.00236761456807129	0.00248873933084459
mtarjeta_master_consumo	0.00116535261983797	0.00154216711861676	0.000963948332369385
mcuenta_debitos_automaticos_lag1	0.00110377076019846	0.00267606865046486	0.00247121299752879
mautoservicio_delta1	0.00108328403249247	0.00505541961813244	0.00277792383055541
Visa_fultimo_cierre_delta1	0.00104926031335205	0.00177222677368883	0.00206810733126523
ctarjeta_debito_lag1	0.0010336353510454	0.00189992056589128	0.00197171249802829
ccaja_seguridad	0.00102508325208724	0.00331310918125148	0.000587132166079535
ccomisiones_otras_delta1	0.00100287011017422	0.00128814840167924	0.00190160716476506
ctarjeta_debito_trx_lag1	0.000994712113522153	0.00381369058747613	0.00262894999737105
Master_status_lag1	0.000978681099841976	0.00203579282436034	0.00035052666631614
Master_mpagospesos	0.000970270712348119	0.00406315332982116	0.00341763499658237
ctransferencias_emitidas_lag1	0.000912950744795449	0.00336255787573151	0.00201552833131781
cplazo_fijo	0.00091224412492298	0.00270460812686746	0.000394342499605658
mcomisiones_mantenimiento_delta1	0.00090563993338543	0.00627350892016271	0.0012443696654223
ctarjeta_visa_trx_delta1	0.000889022513262234	0.00225665629697901	0.00183150183150183
ctransferencias_emitidas	0.000869811158833343	0.00439125912596891	0.00237481816429185
internet_lag1	0.000864865985490842	0.00265560342471571	0.00185779133147554
Master_mpagospesos_delta1	0.000848190215950165	0.00520040182755198	0.00197171249802829
mextraccion_autoservicio_delta1	0.000816357614071605	0.00307364737186521	0.00198923883134409
Master_msaldopesos_lag1	0.000810816629949395	0.00109434478969302	0.0015072646651594
ccajas_consultas_delta1	0.000781408427238525	0.00405666298740618	0.000683526999316473
ctarjeta_debito_trx_delta1	0.000770868167819828	0.00279716304276334	0.00186655449813345
tcuentas_lag1	0.000763508673839289	0.00464409304357584	0.000560842666105824
mtarjeta_master_consumo_lag1	0.000754362272064834	0.00209665896947312	0.00110415899889584
ctransferencias_emitidas_delta1	0.00075038360071305	0.00241710745427518	0.00144592249855408
ccuenta_debitos_automaticos_lag1	0.000728087065639224	0.00301622625983454	0.00141086983192246
Master_mconsumospesos	0.000724423521555886	0.00137182915829214	0.00198923883134409
Master_mfinanciacion_limite_delta1	0.000721623349591877	0.00575635999823375	0.00117426433215907
